Date,Description,Amount (EUR),Category,Bank
04/02/2025,Interest Rate Lending,140.0,Other,AIB
04/02/2025,V165158435040225NA,140.0,Other,AIB
04/02/2025,HAP,29.2,Housing,AIB
04/02/2025,CLUBWISE SOFTW,48.0,Subscriptions,AIB
04/02/2025,Electric Ireland,65.28,Utilities,AIB
04/02/2025,NAPS LOAN AIB,203.41,Loan,AIB
04/02/2025,VIRGIN MEDIA,70.0,Utilities,AIB
05/02/2025,TRANSFER,45.0,Other,AIB
05/02/2025,THREE IRELAND,35.39,Communications,AIB
06/02/2025,V165179435060225NA,327.0,Other,AIB
07/02/2025,VDP-Revolut**9877*,140.0,Transfer,AIB
07/02/2025,MOBI CARD IANARA,100.0,Mobile,AIB
07/02/2025,Electric Ireland,95.43,Utilities,AIB
07/02/2025,CIRCLE K NEWLA,40.0,Fuel,AIB
10/02/2025,HAP,29.2,Housing,AIB
13/02/2025,V165179435130225NA,327.0,Other,AIB
13/02/2025,MOBI RENT MILLPAR,250.0,Other,AIB
17/02/2025,HAP,29.2,Housing,AIB
17/02/2025,MOBI CARD IANARA,55.0,Mobile,AIB
18/02/2025,eFlow,121.0,Other,AIB
18/02/2025,IANARA ARAUJO FERN,247.0,Other,AIB
18/02/2025,NETFLIX.COM,8.99,Entertainment,AIB
18/02/2025,MOBI CARD IANARA,29.2,Mobile,AIB
20/02/2025,V165179435200225NA,327.0,Other,AIB
20/02/2025,MOBI CARD IANARA,10.0,Mobile,AIB
24/02/2025,IANARA ARAUJO FERN,83.41,Other,AIB
24/02/2025,HAP,64.03,Housing,AIB
24/02/2025,MOBI CARD IANARA,29.2,Mobile,AIB
24/02/2025,NAPS LOAN AIB,203.41,Loan,AIB
24/02/2025,ROYAL LONDON,64.03,Insurance,AIB
27/02/2025,V165179435270225NA,327.0,Other,AIB
03/03/2025,HAP,100.0,Housing,AIB
03/03/2025,CLUBWISE SOFTW,327.0,Subscriptions,AIB
03/03/2025,NAPS LOAN AIB,95.95,Loan,AIB
04/03/2025,V165158435040325NA,140.0,Other,AIB
05/03/2025,VDC-TOWER MEDICAL,35.0,Other,AIB
06/03/2025,V165179435060325NA,327.0,Other,AIB
07/03/2025,VIRGIN MEDIA,70.0,Utilities,AIB
07/03/2025,HICKEYS PHARMA,155.0,Other,AIB
10/03/2025,HAP,29.2,Housing,AIB
10/03/2025,THREE IRELAND,35.39,Communications,AIB
11/03/2025,DUNNES CLONDAL,41.67,Groceries,AIB
12/03/2025,CONT BOM DIA,20.1,Other,AIB
12/03/2025,MCDONALDS AERO,17.8,Dining,AIB
12/03/2025,TD COIMBRA,26.3,Other,AIB
13/03/2025,V165179435130325NA,327.0,Other,AIB
13/03/2025,FLIXBUS.COM,33.95,Transport,AIB
13/03/2025,MOBI RENT MILLPAR,250.0,Other,AIB
14/03/2025,EUROGIANT CLON,8.0,Other,AIB
14/03/2025,SUMUP  *MBEAUT,48.75,Other,AIB
18/03/2025,IANARA ARAUJO FERN,54.0,Other,AIB
18/03/2025,NETFLIX INTERN,10.99,Entertainment,AIB
18/03/2025,HAP,29.2,Housing,AIB
18/03/2025,MOBI CARD IANARA,150.0,Mobile,AIB
20/03/2025,V165179435200325NA,327.0,Other,AIB
21/03/2025,IKEA IRELAND,286.5,Shopping,AIB
21/03/2025,VDP-Revolut**9877*,300.0,Transfer,AIB
21/03/2025,CLONDALKIN WAS,9.0,Other,AIB
21/03/2025,D Nail,45.0,Other,AIB
24/03/2025,HAP,29.2,Housing,AIB
24/03/2025,ROYAL LONDON,64.03,Insurance,AIB
24/03/2025,CIRCLE K NEWLA,20.0,Fuel,AIB
24/03/2025,MCDONALDS 7091,5.05,Dining,AIB
24/03/2025,NYA*Gough Brot,1.0,Other,AIB
25/03/2025,DUNNES CLONDAL,5.58,Groceries,AIB
26/03/2025,LIDL DUBLIN,23.88,Groceries,AIB
27/03/2025,V165179435270325NA,327.0,Other,AIB
27/03/2025,Electric Ireland,192.43,Utilities,AIB
28/03/2025,FEE-QTR TO 28FEB25,19.1,Other,AIB
28/03/2025,TESCO STORES,28.56,Groceries,AIB
31/03/2025,VDP-Revolut**9877*,300.0,Transfer,AIB
31/03/2025,HAP,29.2,Housing,AIB
31/03/2025,CLONDALKIN SER,33.01,Other,AIB
01/04/2025,V165158435010425NA,140.0,Other,AIB
01/04/2025,CLUBWISE SOFTW,48.0,Subscriptions,AIB
01/04/2025,DUNNES CLONDAL,49.79,Groceries,AIB
03/04/2025,V165179435030425NA,327.0,Other,AIB
03/04/2025,NAPS LOAN AIB,203.41,Loan,AIB
04/04/2025,VIRGIN MEDIA,70.0,Utilities,AIB
04/04/2025,CLONDALKIN SER,30.01,Other,AIB
07/04/2025,HAP,29.2,Housing,AIB
07/04/2025,THREE IRELAND,34.99,Communications,AIB
08/04/2025,CIRCLE K NEWLA,35.0,Fuel,AIB
10/04/2025,V165179435100425NA,294.0,Other,AIB
10/04/2025,WITHDRAWAL,8246.89,Other,AIB
10/04/2025,Electric Ireland,179.04,Utilities,AIB
