Bank,Date,Description,Amount (EUR),Type
AIB,04/02/2025,Interest Rate Lending,140.0,Expense
AIB,04/02/2025,V165158435040225NA,140.0,Expense
AIB,04/02/2025,HAP,29.2,Expense
AIB,04/02/2025,CLUBWISE SOFTW,48.0,Expense
AIB,04/02/2025,Electric Ireland,65.28,Expense
AIB,04/02/2025,NAPS LOAN AIB,203.41,Expense
AIB,04/02/2025,VIRGIN MEDIA,70.0,Expense
AIB,05/02/2025,TRANSFER,45.0,Expense
AIB,05/02/2025,THREE IRELAND,35.39,Expense
AIB,06/02/2025,V165179435060225NA,327.0,Expense
AIB,07/02/2025,VDP-Revolut**9877*,140.0,Expense
AIB,07/02/2025,MOBI CARD IANARA,100.0,Expense
AIB,07/02/2025,Electric Ireland,95.43,Expense
AIB,07/02/2025,CIRCLE K NEWLA,40.0,Expense
AIB,10/02/2025,HAP,29.2,Expense
AIB,13/02/2025,V165179435130225NA,327.0,Expense
AIB,13/02/2025,MOBI RENT MILLPAR,250.0,Expense
AIB,17/02/2025,HAP,29.2,Expense
AIB,17/02/2025,MOBI CARD IANARA,55.0,Expense
AIB,18/02/2025,eFlow,121.0,Expense
AIB,18/02/2025,IANARA ARAUJO FERN,247.0,Expense
AIB,18/02/2025,NETFLIX.COM,8.99,Expense
AIB,18/02/2025,MOBI CARD IANARA,29.2,Expense
AIB,20/02/2025,V165179435200225NA,327.0,Expense
AIB,20/02/2025,MOBI CARD IANARA,10.0,Expense
AIB,24/02/2025,IANARA ARAUJO FERN,83.41,Expense
AIB,24/02/2025,HAP,64.03,Expense
AIB,24/02/2025,MOBI CARD IANARA,29.2,Expense
AIB,24/02/2025,NAPS LOAN AIB,203.41,Expense
AIB,24/02/2025,ROYAL LONDON,64.03,Expense
AIB,27/02/2025,V165179435270225NA,327.0,Expense
AIB,03/03/2025,HAP,100.0,Expense
AIB,03/03/2025,CLUBWISE SOFTW,327.0,Expense
AIB,03/03/2025,NAPS LOAN AIB,95.95,Expense
AIB,04/03/2025,V165158435040325NA,140.0,Expense
AIB,05/03/2025,VDC-TOWER MEDICAL,35.0,Expense
AIB,06/03/2025,V165179435060325NA,327.0,Expense
AIB,07/03/2025,VIRGIN MEDIA,70.0,Expense
AIB,07/03/2025,HICKEYS PHARMA,155.0,Expense
AIB,10/03/2025,HAP,29.2,Expense
AIB,10/03/2025,THREE IRELAND,35.39,Expense
AIB,11/03/2025,DUNNES CLONDAL,41.67,Expense
AIB,12/03/2025,CONT BOM DIA,20.1,Expense
AIB,12/03/2025,MCDONALDS AERO,17.8,Expense
AIB,12/03/2025,TD COIMBRA,26.3,Expense
AIB,13/03/2025,V165179435130325NA,327.0,Expense
AIB,13/03/2025,FLIXBUS.COM,33.95,Expense
AIB,13/03/2025,MOBI RENT MILLPAR,250.0,Expense
AIB,14/03/2025,EUROGIANT CLON,8.0,Expense
AIB,14/03/2025,SUMUP  *MBEAUT,48.75,Expense
AIB,18/03/2025,IANARA ARAUJO FERN,54.0,Expense
AIB,18/03/2025,NETFLIX INTERN,10.99,Expense
AIB,18/03/2025,HAP,29.2,Expense
AIB,18/03/2025,MOBI CARD IANARA,150.0,Expense
AIB,20/03/2025,V165179435200325NA,327.0,Expense
AIB,21/03/2025,IKEA IRELAND,286.5,Expense
AIB,21/03/2025,VDP-Revolut**9877*,300.0,Expense
AIB,21/03/2025,CLONDALKIN WAS,9.0,Expense
AIB,21/03/2025,D Nail,45.0,Expense
AIB,24/03/2025,HAP,29.2,Expense
AIB,24/03/2025,ROYAL LONDON,64.03,Expense
AIB,24/03/2025,CIRCLE K NEWLA,20.0,Expense
AIB,24/03/2025,MCDONALDS 7091,5.05,Expense
AIB,24/03/2025,NYA*Gough Brot,1.0,Expense
AIB,25/03/2025,DUNNES CLONDAL,5.58,Expense
AIB,26/03/2025,LIDL DUBLIN,23.88,Expense
AIB,27/03/2025,V165179435270325NA,327.0,Expense
AIB,27/03/2025,Electric Ireland,192.43,Expense
AIB,28/03/2025,FEE-QTR TO 28FEB25,19.1,Expense
AIB,28/03/2025,TESCO STORES,28.56,Expense
AIB,31/03/2025,VDP-Revolut**9877*,300.0,Expense
AIB,31/03/2025,HAP,29.2,Expense
AIB,31/03/2025,CLONDALKIN SER,33.01,Expense
AIB,01/04/2025,V165158435010425NA,140.0,Expense
AIB,01/04/2025,CLUBWISE SOFTW,48.0,Expense
AIB,01/04/2025,DUNNES CLONDAL,49.79,Expense
AIB,03/04/2025,V165179435030425NA,327.0,Expense
AIB,03/04/2025,NAPS LOAN AIB,203.41,Expense
AIB,04/04/2025,VIRGIN MEDIA,70.0,Expense
AIB,04/04/2025,CLONDALKIN SER,30.01,Expense
AIB,07/04/2025,HAP,29.2,Expense
AIB,07/04/2025,THREE IRELAND,34.99,Expense
AIB,08/04/2025,CIRCLE K NEWLA,35.0,Expense
AIB,10/04/2025,V165179435100425NA,294.0,Expense
AIB,10/04/2025,WITHDRAWAL,8246.89,Expense
AIB,10/04/2025,Electric Ireland,179.04,Expense
Revolut,07/10/2025,To Theo new house,4600.0,Large Transaction
Revolut,07/10/2025,To Theo new house,4600.0,Large Transaction
Revolut,09/10/2025,To Ianara Fernandes,2900.0,Large Transaction
Revolut,24/07/2025,Booking.com,1059.68,Large Transaction
Revolut,12/10/2025,IKEA,761.0,Large Transaction
Revolut,20/01/2025,Pocket Withdrawal,613.0,Large Transaction
Revolut,31/10/2025,Google Pay top-up,600.0,Large Transaction
Revolut,21/01/2025,Allianz,612.71,Large Transaction
Revolut,21/07/2025,To Holiday,445.0,Large Transaction
