Date,Type,Name/Description,Amount,Currency,Frequency,Total Amount,Count
2025-10-07,Transfer,To Theo new house,-4600.0,EUR,,,
2025-10-07,Transfer,To Theo new house,-4600.0,EUR,,,
2025-10-09,Transfer,To Ianara Fernandes,-2900.0,EUR,,,
2025-07-24,Expense,Booking.com,-1059.68,EUR,,,
2025-10-12,Expense,IKEA,-761.0,EUR,,,
2025-01-20,Expense,Pocket Withdrawal,-613.0,EUR,,,
2025-10-31,Expense,Google Pay top-up by *8687,-600.0,EUR,,,
2025-07-21,Transfer,To Holiday,-445.0,EUR,,,
2025-01-21,Expense,Allianz,-612.71,EUR,,,

Recurring Patterns Summary:

,Transfer,To Theo new house,26.15971830985916,EUR,710,18573.4,710
,Transfer,To Holiday,20.427745664739884,EUR,346,7068.0,346
,Withdrawal,Pocket Withdrawal,54.519444444444446,EUR,144,7850.8,144
,Transfer,Saving vault topup prefunding wallet,14.974729241877256,EUR,277,4148.0,277
,Expense,Circle K Gas Station,27.517547169811323,EUR,53,1458.43,53
,Transfer,Savings Vault topup,5.903846153846154,EUR,208,1228.0,208
,Expense,Temu,33.15266666666667,EUR,30,994.58,30
,Transfer,To Instant Access Savings,12.105263157894736,EUR,76,920.0,76
,Expense,Dunnes Stores,40.28181818181818,EUR,22,886.2,22
,Expense,Amazon,30.398947368421055,EUR,19,577.58,19
