Type,Date,Name/Description,Amount (EUR),Frequency,Total Amount (EUR)
Large Transaction,07 Oct 2025,To Theo new house,4600.0,1,4600.0
Large Transaction,07 Oct 2025,To Theo new house,4600.0,1,4600.0
Large Transaction,09 Oct 2025,To Ianara Fernandes,2900.0,1,2900.0
Large Transaction,24 Jul 2025,Booking.com,1059.68,1,1059.68
Large Transaction,12 Oct 2025,IKEA,761.0,1,761.0
Large Transaction,20 Jan 2025,Pocket Withdrawal,613.0,1,613.0
Large Transaction,31 Oct 2025,Google Pay top-up by *8687,600.0,1,600.0
Large Transaction,21 Jan 2025,Allianz,612.71,1,612.71
Large Transaction,21 Jul 2025,To Holiday,445.0,1,445.0
Recurring Expense,,To Theo new house,26.16,710,18573.4
Recurring Expense,,To Holiday,20.43,346,7068.0
Recurring Expense,,Pocket Withdrawal,54.52,144,7850.8
Recurring Expense,,Saving vault topup prefunding wallet,14.97,277,4148.0
Recurring Expense,,Circle K Gas Station,27.52,53,1458.43
Recurring Expense,,Savings Vault topup,5.9,208,1228.0
Recurring Expense,,Temu,33.15,30,994.58
Recurring Expense,,To Instant Access Savings,12.11,76,920.0
Recurring Expense,,Dunnes Stores,40.28,22,886.2
Recurring Expense,,Amazon,30.4,19,577.58
